uuid,title,commodity_code,latitude,longitude,wkt_point,categories,description,url,General Information > Commodity Type,General Information > Mine Name(Ore Deposit Name),General Information > Country,General Information > Location Name,General Information > Company Name,General Information > License Type,General Information > Status,Geology(Country Rock) > Geotectonics,Geology(Country Rock) > Stratum Name,Geology(Country Rock) > Lithology,Geology(Country Rock) > Age,Metallogenic Belt Name > Metallogenic Belt Name,Related Igneous Rock > Type of Related Igneous Rock,Related Igneous Rock > Age of Related Igneous Rock,Ore Deposit > Type of Ore Deposit,Ore Deposit > Ore Body Type,Ore Deposit > Main Ore Deposit,Ore Deposit > Minor Ore Deposit,Ore Deposit > Main Mineral,Ore Deposit > Minor Mineral,Ore Deposit > Mineralizaed Age,Ore Deposit > Alteration Properties,Ore Deposit > Resources,Ore Deposit > Grade of Resources,File Data > Type of Map & Report,File Data > Content Type,File Data > Title,File Data > Publishing Agency,File Data > Publication Year,URL Reference > URL,URL Reference > URL Type,Security Level > Security Level,License & Copyright > Public settings,License & Copyright > CC License,License & Copyright > Copyright,License & Copyright > Data Registrant,License & Copyright > Registration Date,URL Reference > URL Description,Ore Deposit > Ore Body Scale(Depth),Comments > Comments,License & Copyright > Phrases used in citation,Ore Deposit > Ore Body Direction,Ore Deposit > Reserves,Ore Deposit > Grade of Reserves,Ore Deposit > Ore Body Scale(Length),Ore Deposit > Ore Body Scale(Width),File Data > Data File,File Data > File Public setting
af57140a-aa9c-4829-9c2e-9cca2443f5f7,[Arsenic] Nammadao,108,19.3120,102.741,POINT (102.741 19.3120),Critical Mineral Resources Data | ASEAN-CMR-2026-001427 | LA-000362,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/af57140a-aa9c-4829-9c2e-9cca2443f5f7,Arsenic,Nammadao,Lao PDR,Louangphrabang,,,,Truong Son Paleozoic volcano-sedimentary arc,Namchat Formation,Sedimentary rock,Jurrassic-Cretaceous,Truong Son Paleozoic volcano-sedimentary arc,,,,Anomaly (153 ppm),,,,,,,,,Geochemistry,Map,Geochemical Atlas of Lao PDR,China Geological Survey,2020,,,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
b984f16f-9f78-4e0e-a659-08b9d88da0f5,[Bismuth] Kalum,109,15.7102,107.040,POINT (107.040 15.7102),Critical Mineral Resources Data | ASEAN-CMR-2026-001426 | LA-000361,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/b984f16f-9f78-4e0e-a659-08b9d88da0f5,Bismuth,Kalum,Lao PDR,Xekong,,,,Truong Son Paleozoic volcano-sedimentary arc,,Marine volcanosedimentary rock,Devonian,Truong Son Paleozoic volcano-sedimentary arc,,,,Anomaly (153 ppm),,,,,,,,,Geochemistry,Map,Geochemical Atlas of Lao PDR,China Geological Survey,2019,,,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
1101683d-47a2-4f55-a557-f59fe1ed2e40,[Boron] Samphan,110,21.7908,102.546,POINT (102.546 21.7908),Critical Mineral Resources Data | ASEAN-CMR-2026-001425 | LA-000360,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/1101683d-47a2-4f55-a557-f59fe1ed2e40,Boron,Samphan,Lao PDR,Phongsali,,,,Loei-Luang Prabang Fold Belt,Nam Ou and Nam Tha Zone,Sedimentary rock,Lower Creataceos,Loei-Luang Prabang Fold Belt,,,,Anomaly (153 ppm),,,,,,,,,Geochemistry,Map,Geochemical Atlas of Lao PDR,China Geological Survey,2019,,,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
84e722ae-ec46-46e0-b84e-7709a43b77b4,[Beryllium] Xaisathan,010,19.2548,101.316,POINT (101.316 19.2548),Critical Mineral Resources Data | ASEAN-CMR-2026-001424 | LA-000359,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/84e722ae-ec46-46e0-b84e-7709a43b77b4,Beryllium,Xaisathan,Lao PDR,Xaignabouli,,,,Loei-Luang Prabang Fold Belt,NamYou Bridge Formation,Sedimentary rock,Middle Jurrasic,Loei-Luang Prabang Fold Belt,,,,Anomaly (153 ppm),,,,,,,,,Geochemistry,Map,Geochemical Atlas of Lao PDR,China Geological Survey,2019,,,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
3400a0cd-a7a3-4dbc-b149-f80dfc340ff3,[Bismuth] Fangdeng,109,17.9735,104.423,POINT (104.423 17.9735),Critical Mineral Resources Data | ASEAN-CMR-2026-001423 | LA-000358,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/3400a0cd-a7a3-4dbc-b149-f80dfc340ff3,Bismuth,Fangdeng,Lao PDR,Khammouan,,,,Truong Son Paleozoic volcano-sedimentary arc,Khammouan Formation,Sedimentary rock,Carboniferous-Permian,Truong Son Paleozoic volcano-sedimentary arc,,,,Anomaly (153 ppm),,,,,,,,,Geochemistry,Map,Geochemical Atlas of Lao PDR,China Geological Survey,2019,,,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
d2e0868b-01fd-42d4-bceb-e339814f26a6,[Beryllium] Sopkhi,010,18.6647,104.878,POINT (104.878 18.6647),Critical Mineral Resources Data | ASEAN-CMR-2026-001422 | LA-000357,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/d2e0868b-01fd-42d4-bceb-e339814f26a6,Beryllium,Sopkhi,Lao PDR,Bolikhamxai,,,,Truong Son Paleozoic volcano-sedimentary arc,Nam Houay Formation,Metasedimentary rock,Ordovician-Lower Silurian,Truong Son Paleozoic volcano-sedimentary arc,,,,Anomaly (153 ppm),,,,,,,,,Geochemistry,Map,Geochemical Atlas of Lao PDR,China Geological Survey,2019,,,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
863df919-6f8c-4280-b010-dbd5c52b656c,[Beryllium] Houaytho,010,19.9109,102.685,POINT (102.685 19.9109),Critical Mineral Resources Data | ASEAN-CMR-2026-001421 | LA-000356,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/863df919-6f8c-4280-b010-dbd5c52b656c,Beryllium,Houaytho,Lao PDR,Louangphrabang,,,,Truong Son Paleozoic volcano-sedimentary arc,Nam Mat Formation,Sedimentary rock,Permian-Triassic,Truong Son Paleozoic volcano-sedimentary arc,,,,Anomaly (153 ppm),,,,,,,,,Geochemistry,Map,Geochemical Atlas of Lao PDR,China Geological Survey,2019,,,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
09932a43-a879-4c17-bfcd-2d2ed2fe4758,[Hafnium] Gnot Ou,113,22.1413,101.652,POINT (101.652 22.1413),Critical Mineral Resources Data | ASEAN-CMR-2026-001420 | LA-000355,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/09932a43-a879-4c17-bfcd-2d2ed2fe4758,Hafnium,Gnot Ou,Lao PDR,Phongsali,,,,Loei-Luang Prabang Fold Belt,Nam Ou and Nam Tha Zone,Sedimentary rock,Middle Cretaceous,Loei-Luang Prabang Fold Belt,,,,Anomaly (153 ppm),,,,,,,,,Geochemistry,Map,Geochemical Atlas of Lao PDR,China Geological Survey,2019,,,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
96121fbe-bea5-4ab7-97d1-2a8e72fe6371,[Copper] B. Naliang,019,17.9792,104.311,POINT (104.311 17.9792),Critical Mineral Resources Data | ASEAN-CMR-2026-001419 | LA-000354,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/96121fbe-bea5-4ab7-97d1-2a8e72fe6371,Copper,B. Naliang,Lao PDR,Bolikhamxai,,,,Khorat Plateau,Say Phou Ngou Subvolcanic-Intrusive complex,Volcanic rock,Triassic,Khorat Plateau,Granitoid intrusives,Triassic,,Occurrence,,,,,,,,,Geology,Map,GEOLOGICAL AND MINERAL MAP OF Mid-central Lao Region (E-48-XXI Thakhek),Department of Geology and Mines of Laos-Intergeo Vietnam,2000,,,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
2c6d0df3-0256-4c5f-bb25-13752df403ba,"[Copper, Silver] Houei Pho",020,15.0833,106.883,POINT (106.883 15.0833),Critical Mineral Resources Data | ASEAN-CMR-2026-001418 | LA-000353,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/2c6d0df3-0256-4c5f-bb25-13752df403ba,"Copper, Silver",Houei Pho,Lao PDR,Attapeu,,,,Truong Son Paleozoic volcano-sedimentary arc,Lavi Gnai Tai Formation,Sedimentary rock,Jurrasic,Truong Son Paleozoic volcano-sedimentary arc,Volcanic rock,Triassic,stratiform,Occurrence,,,,,,,,,Geology,Map & Report,GEOLOGICAL MAP OF ATTAPU (D-48-XI),Japan International Cooperation Agency (JICA),2008,,,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
7df5051d-ccbf-40a5-82ff-6260a40c37d9,[Gallium] Pathoumphon,111,14.5973,106.051,POINT (106.051 14.5973),Critical Mineral Resources Data | ASEAN-CMR-2026-001417 | LA-000352,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/7df5051d-ccbf-40a5-82ff-6260a40c37d9,Gallium,Pathoumphon,Lao PDR,Champasak,,,,Kontum Massif,,Sedimentary rock,Triassic,Kontum Massif,,,,Anomaly (153 ppm),,,,,,,,,Geochemistry,Map,Geochemical Atlas of Lao PDR,China Geological Survey,2019,,,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
013e1d04-7f19-4b7a-aaef-8c63f52c9e69,[Germanium] Khamkeut,112,18.3374,105.143,POINT (105.143 18.3374),Critical Mineral Resources Data | ASEAN-CMR-2026-001416 | LA-000351,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/013e1d04-7f19-4b7a-aaef-8c63f52c9e69,Germanium,Khamkeut,Lao PDR,Bolikhamxai,,,,Truong Son Paleozoic volcano-sedimentary arc,Nam Houay Formation,Metasedimentary rock,Carboniferous-Permian,Truong Son Paleozoic volcano-sedimentary arc,"Granodiorite, biotite granite",Carboniferous,,Anomaly (153 ppm),,,,,,,,,Geochemistry,Map,Geochemical Atlas of Lao PDR,China Geological Survey,2019,,,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
cfc54864-de9f-4c62-be95-42c6d4b25acd,[Indium] Houaypuak,114,17.9399,104.399,POINT (104.399 17.9399),Critical Mineral Resources Data | ASEAN-CMR-2026-001415 | LA-000350,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/cfc54864-de9f-4c62-be95-42c6d4b25acd,Indium,Houaypuak,Lao PDR,Khammouan,,,,Khorat Plateau,Phou Tiou Formation,Sedimentary rock,Devonian,Sedimentary rock,,,,Anomaly (153 ppm),,,,,,,,,Geochemistry,Map,Geochemical Atlas of Lao PDR,China Geological Survey,2019,,,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
332bd0a8-fba3-4589-99b1-97bd033bb527,[Hafnium] Xamtai,113,20.1147,104.622,POINT (104.622 20.1147),Critical Mineral Resources Data | ASEAN-CMR-2026-001414 | LA-000349,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/332bd0a8-fba3-4589-99b1-97bd033bb527,Hafnium,Xamtai,Lao PDR,Huaphane,,,,Truong Son Paleozoic volcano-sedimentary arc,Nam Sam suit-sub-lower suit,Sedimentary rock,Triassic,Truong Son Paleozoic volcano-sedimentary arc,Volcanic rock,Triassic,,Anomaly (9.12 ppm),,,,,,,,,Geochemistry,Map,"Geochemical map Huaphane Province Scale 1:250,000",China Geological Survey,2024,,,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
05c5948a-2332-48ae-928c-b4ab12d687d2,[Iron] B. Naliang,040,19.3375,103.404,POINT (103.404 19.3375),Critical Mineral Resources Data | ASEAN-CMR-2026-001413 | LA-000348,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/05c5948a-2332-48ae-928c-b4ab12d687d2,Iron,B. Naliang,Lao PDR,Xiangkhouang,,,,Truong Son Paleozoic volcano-sedimentary arc,Hoeui Sao Formation,Metasedimentary rock,Silurian-Devonian,Truong Son Paleozoic volcano-sedimentary arc,,,hydrogoethite,"Occurrence (Fe=45-50%, Mn=0.01-0.05%, P=0.02-0.05%)",,,,,,,,,Geology,Map,GEOLOGICAL MAP OF KHANG KHAI AREA,Department of Geology and Mines of Laos-Intergeo Vietnam,1982,,,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
b5cd2330-3211-43de-baa9-439f7e489326,[Lead] Nakha,045,17.9970,104.386,POINT (104.386 17.9970),Critical Mineral Resources Data | ASEAN-CMR-2026-001412 | LA-000347,Xayyakone PHETPASEUTH LA (2026-05-12),https://acmdp.org/data/b5cd2330-3211-43de-baa9-439f7e489326,Lead,Nakha,Lao PDR,Khammouan,,,,Truong Son Paleozoic volcano-sedimentary arc,Boualapha Formation,Sedimentary rock,Carboniferous,Truong Son Paleozoic volcano-sedimentary arc,,,,Anomaly (153 ppm),,,,,,,,,Geochemistry,Map,Geochemical Atlas of Lao PDR,China Geological Survey,2019,,,Open,Public,"CC BY-NC -The author is free to use, but not for profit.",The copyright of this data is held by ASEAN Member States,Xayyakone PHETPASEUTH,2026-05-12,,,,,,,,,,,
